id,VCO2,wet_mass_mg,test_temperature
WBC1_5C_rawdata.exp,1.23E-04,211.7,5
WBC2_5C_rawdata.exp,2.62E-04,674.4,5
WBC3_5C_rawdata.exp,2.02E-04,559.7,5
WBC4_5C_rawdata.exp,1.26E-04,558.3,5
WBC5_5C_rawdata_#3.exp,8.91E-05,216.7,5
WBC6_5C_rawdata.exp,1.29E-04,421.3,5
WBC7_5C_rawdata.exp,2.69E-04,576.6,5
WBC8_5C_rawdata.exp,1.40E-04,395.1,5
WBC9_5C_rawdata.exp,1.58E-04,531.9,5
WBC10_10C_rawdata.exp,1.70E-04,440.3,10
WBC11_10C_rawdata.exp,3.62E-04,527.5,10
WBC14_10C_rawdata.exp,2.36E-04,486.2,10
WBC15_10C_rawdata.exp,2.80E-04,342.5,10
WBC16_10C_rawdata.exp,1.61E-04,362,10
WBC17_10C_rawdata.exp,4.40E-04,263.9,10
WBC19_10C_rawdata.exp,2.55E-04,412.4,10
WBC20_10C_rawdata.exp,2.54E-04,362.2,10
WBC21_15C_rawdata.exp,3.76E-04,339.6,15
WBC22_15C_rawdata_#3.exp,4.57E-04,420.4,15
WBC23_15C_rawdata.exp,3.13E-04,284.4,15
WBC24_15C_rawdata.exp,3.76E-04,486.6,15
WBC25_15C_rawdata_#1st baseline only.exp,4.40E-04,377.5,15
WBC26_15C_rawdata.exp,4.23E-04,586.3,15
WBC28_15C_rawdata.exp,2.27E-04,461.2,15
WBC30_15C_rawdata.exp,6.53E-04,589.5,15
WBC34_15C_rawdata.exp,5.05E-04,273.4,15
WBC29_20C_rawdata.exp,1.48E-03,385.4,20
WBC31_20C_rawdata.exp,4.05E-04,261.2,20
WBC33_20C_rawdata.exp,1.65E-03,302,20
WBC35_20C_rawdata.exp,5.57E-04,265.5,20
WBC36_20C_rawdata.exp,1.33E-03,643.5,20
WBC38_20C_rawdata_#3.exp,5.83E-04,336.3,20
WBC39_20C_rawdata_#3.exp,7.74E-04,271.5,20
WBC40_20C_rawdata_#3.exp,6.24E-04,296.5,20
WBC41_25C_rawdata.exp,1.48E-03,437.7,25
WBC42_25C_rawdata.exp,7.87E-04,258.2,25
WBC43_25C_rawdata.exp,1.31E-03,395.3,25
WBC44_25C_rawdata.exp,1.09E-03,511.7,25
WBC45_25C_rawdata.exp,4.74E-04,563,25
WBC46_25C_rawdata.exp,1.09E-03,433.8,25
WBC48_25C_rawdata_#3.exp,8.66E-04,263.9,25
WBC49_25C_rawdata.exp,1.37E-03,439.1,25