id,time,depth_cm,wet_mass_mg,test_temperature,VCO2
A10.1,2015-10-01,18.8,499,20,0.000444654
A10.3,2015-10-01,23.7,505.1,20,0.000910015
A10.4,2015-10-01,26.6,483.4,20,0.0006237
A14.3,2015-10-01,9.9,419.7,20,0.000383023
A14.5,2015-10-01,24.1,404.4,20,0.000819939
B5.1,2015-10-01,20,514.3,20,0.000476461
B5.2,2015-10-01,19.7,415.6,20,0.000424891
B5.4,2015-10-01,22,436.9,20,0.000660602
C4.3,2015-10-01,13.9,309.7,20,0.000331392
C4.4,2015-10-01,15.3,387,20,0.000675916
C4.6,2015-10-01,24.6,342.3,20,0.000728992
A3.1,2015-11-01,8.3,393.1,20,0.000608798
A3.3,2015-11-01,24.4,484.7,20,0.001008803
A3.4,2015-11-01,29.9,490.5,20,0.0007031
B10.1,2015-11-01,12.9,515.2,20,0.000505766
B14.6,2015-11-01,25.4,528.5,20,0.000582803
E13.2,2015-11-01,7.2,250.8,20,0.000194217
E13.4,2015-11-01,6.8,380,20,0.000271995
F5.1,2015-11-01,2.5,538.8,20,0.000324867
F5.2,2015-11-01,3.1,455.6,20,0.000258721
C2.2,2016-01-01,15.5,498.6,20,0.000516199
C2.5,2016-01-01,20.6,530.9,20,0.0005562
C2.6,2016-01-01,25.2,566.5,20,0.000391539
C8.1,2016-01-01,16.3,483.4,20,0.000527693
D4.3,2016-01-01,16.9,372.9,20,0.000433013
A13.2,2016-05-01,16.4,473.1,20,0.000400597
B3.1,2016-05-01,17.5,408.2,20,0.000401743
B7.1,2016-05-01,23,489.2,20,0.000667073
A10.1,2015-10-01,18.8,499,10,0.000162048
A10.3,2015-10-01,23.7,505.1,10,0.000456555
A10.4,2015-10-01,26.6,483.4,10,0.000252951
A14.3,2015-10-01,9.9,419.7,10,0.000306108
A14.5,2015-10-01,24.1,404.4,10,0.000245445
B5.1,2015-10-01,20,514.3,10,0.000271207
B5.2,2015-10-01,19.7,415.6,10,0.000349235
B5.4,2015-10-01,22,436.9,10,0.000187018
C4.3,2015-10-01,13.9,309.7,10,9.30E-05
C4.4,2015-10-01,15.3,387,10,0.000376052
C4.6,2015-10-01,24.6,342.3,10,0.000304665
A3.1,2015-11-01,8.3,393.1,12,0.000301833
A3.3,2015-11-01,24.4,484.7,12,0.000385351
A3.4,2015-11-01,29.9,490.5,12,0.000375075
B10.1,2015-11-01,12.9,515.2,12,0.000348337
B14.6,2015-11-01,25.4,528.5,12,0.000218675
E13.2,2015-11-01,7.2,250.8,12,5.29E-05
E13.4,2015-11-01,6.8,380,12,0.000269581
F5.1,2015-11-01,2.5,538.8,12,0.000268532
F5.2,2015-11-01,3.1,455.6,12,0.000237675
C2.2,2016-01-01,15.5,498.6,12,0.000158041
C2.5,2016-01-01,20.6,530.9,12,0.000130073
C2.6,2016-01-01,25.2,566.5,12,0.000287507
C8.1,2016-01-01,16.3,483.4,12,0.000288324
D4.3,2016-01-01,16.9,372.9,12,0.000207529
A13.2,2016-05-01,16.4,473.1,14,0.000200238
B3.1,2016-05-01,17.5,408.2,14,0.000286737
B7.1,2016-05-01,23,489.2,14,0.000375843