id,time,treatment,wet_mass_mg,test_temperature,VCO2
T1-4-1,2015-11-01,4,359.6,20,0.000377102
T1-4-12,2015-11-01,4,486.7,20,0.000563176
T1-4-3,2015-11-01,4,335.8,20,0.00039509
T1-4-4,2015-11-01,4,325.4,20,0.00046965
T1-4-5,2015-11-01,4,382.4,20,0.000549095
T1-4-6,2015-11-01,4,370.9,20,0.000307225
T1-4-7,2015-11-01,4,300.8,20,0.000709935
T1-4-8,2015-11-01,4,294.5,20,0.000440156
T1-4-9,2015-11-01,4,361.6,20,0.000520754
T2-4-16,2016-01-01,4,370.5,20,0.000508903
T2-4-20,2016-01-01,4,262.5,20,0.000586395
T2-4-23,2016-01-01,4,314,20,0.000428422
T3-4-25,2016-04-01,4,315.3,20,0.000478528
T3-4-26,2016-04-01,4,364.3,20,0.000533414
T3-4-27,2016-04-01,4,282.2,20,0.000318065
T3-4-28,2016-04-01,4,309.7,20,0.000397436
T3-4-31,2016-04-01,4,477.8,20,0.000397733
T3-4-32,2016-04-01,4,305.3,20,0.000677099
T3-4-34,2016-04-01,4,311.6,20,0.000700928
T3-4-35,2016-04-01,4,344.2,20,0.000490916
T1-8-1,2015-11-01,8,369.8,20,0.000234452
T1-8-10,2015-11-01,8,307.7,20,0.000406764
T1-8-11,2015-11-01,8,391.9,20,0.000527061
T1-8-12,2015-11-01,8,321.2,20,0.000554596
T1-8-2,2015-11-01,8,412.8,20,0.000394897
T1-8-3,2015-11-01,8,384.6,20,0.000571041
T1-8-4,2015-11-01,8,360.6,20,0.000422858
T1-8-5,2015-11-01,8,374.4,20,0.000292697
T1-8-6,2015-11-01,8,411.4,20,0.000469503
T1-8-7,2015-11-01,8,331.5,20,0.000775637
T1-8-8,2015-11-01,8,401.9,20,0.000838118
T1-8-9,2015-11-01,8,302,20,0.000291929
T2-8-13,2016-01-01,8,204.3,20,0.000273817
T2-8-14,2016-01-01,8,353.4,20,0.000817042
T2-8-18,2016-01-01,8,356.7,20,0.000579673
T2-8-19,2016-01-01,8,319.4,20,0.000350605
T2-8-21,2016-01-01,8,386.7,20,0.000428601
T2-8-24,2016-01-01,8,277.6,20,0.000449929
T3-8-25,2016-04-01,8,337.1,20,0.000384851
T3-8-26,2016-04-01,8,316.8,20,0.000313834
T3-8-27,2016-04-01,8,276.4,20,0.000281834
T3-8-28,2016-04-01,8,330.6,20,0.000222095
T3-8-30,2016-04-01,8,346.2,20,0.000228216
T3-8-33,2016-04-01,8,369.1,20,0.000451908
T3-8-35,2016-04-01,8,253.5,20,0.000344215
T3-8-36,2016-04-01,8,237.1,20,0.000331145
T1-12-10,2015-11-01,12,310.1,20,0.000536737
T1-12-4,2015-11-01,12,359.7,20,0.000298697
T1-12-5,2015-11-01,12,440.8,20,0.000313364
T1-12-6,2015-11-01,12,331.7,20,0.000665541
T1-12-7,2015-11-01,12,354.5,20,0.000489106
T1-12-9,2015-11-01,12,284.7,20,0.00031572
T2-12-13,2016-01-01,12,306.1,20,0.000333769
T2-12-14,2016-01-01,12,255.3,20,0.000424365
T2-12-17,2016-01-01,12,302.3,20,0.000516732
T2-12-18,2016-01-01,12,360,20,0.000312725
T2-12-19,2016-01-01,12,349.5,20,0.000435608
T2-12-20,2016-01-01,12,289.8,20,0.00040762
T2-12-21,2016-01-01,12,339.3,20,0.00040706
T2-12-24,2016-01-01,12,311.6,20,0.00042311
T3-12-25,2016-04-01,12,249.9,20,0.000346427
T3-12-29,2016-04-01,12,310.2,20,0.000242324
T3-12-30,2016-04-01,12,218.6,20,0.00044683
T3-12-31,2016-04-01,12,251.1,20,0.00039728
T3-12-35,2016-04-01,12,285,20,0.000282167
T1-4-1,2015-11-01,4,359.6,10,0.000241067
T1-4-12,2015-11-01,4,486.7,10,0.000339256
T1-4-3,2015-11-01,4,335.8,10,0.000207056
T1-4-4,2015-11-01,4,325.4,10,0.000233816
T1-4-5,2015-11-01,4,382.4,10,0.000229854
T1-4-6,2015-11-01,4,370.9,10,9.45E-05
T1-4-7,2015-11-01,4,300.8,10,0.000171092
T1-4-8,2015-11-01,4,294.5,10,0.000177816
T1-4-9,2015-11-01,4,361.6,10,0.00011762
T2-4-16,2016-01-01,4,370.5,12,0.000254364
T2-4-20,2016-01-01,4,262.5,12,0.000386486
T2-4-23,2016-01-01,4,314,12,0.000345863
T3-4-25,2016-04-01,4,315.3,14,0.000416813
T3-4-26,2016-04-01,4,364.3,14,0.000385536
T3-4-27,2016-04-01,4,282.2,14,0.000218967
T3-4-28,2016-04-01,4,309.7,14,0.000394226
T3-4-31,2016-04-01,4,477.8,14,0.000261348
T3-4-32,2016-04-01,4,305.3,14,0.000366118
T3-4-34,2016-04-01,4,311.6,14,0.000329142
T3-4-35,2016-04-01,4,344.2,14,0.000414053
T1-8-1,2015-11-01,8,369.8,10,6.71E-05
T1-8-10,2015-11-01,8,307.7,10,0.000390899
T1-8-11,2015-11-01,8,391.9,10,0.000339818
T1-8-12,2015-11-01,8,321.2,10,0.000103068
T1-8-2,2015-11-01,8,412.8,10,0.000240982
T1-8-3,2015-11-01,8,384.6,10,0.000127065
T1-8-4,2015-11-01,8,360.6,10,7.71E-05
T1-8-5,2015-11-01,8,374.4,10,0.000170023
T1-8-6,2015-11-01,8,411.4,10,0.000205717
T1-8-7,2015-11-01,8,331.5,10,0.00033893
T1-8-8,2015-11-01,8,401.9,10,0.000289614
T1-8-9,2015-11-01,8,302,10,0.000288939
T2-8-13,2016-01-01,8,204.3,12,0.000250906
T2-8-14,2016-01-01,8,353.4,12,0.000293137
T2-8-18,2016-01-01,8,356.7,12,0.000148316
T2-8-19,2016-01-01,8,319.4,12,0.000325162
T2-8-21,2016-01-01,8,386.7,12,0.000234746
T2-8-24,2016-01-01,8,277.6,12,0.000283605
T3-8-25,2016-04-01,8,337.1,14,0.000326689
T3-8-26,2016-04-01,8,316.8,14,0.000238459
T3-8-27,2016-04-01,8,276.4,14,0.000242989
T3-8-28,2016-04-01,8,330.6,14,0.000177396
T3-8-30,2016-04-01,8,346.2,14,0.000196383
T3-8-33,2016-04-01,8,369.1,14,0.000412447
T3-8-35,2016-04-01,8,253.5,14,0.000178556
T3-8-36,2016-04-01,8,237.1,14,0.000259228
T1-12-10,2015-11-01,12,310.1,10,0.000247821
T1-12-4,2015-11-01,12,359.7,10,6.22E-05
T1-12-5,2015-11-01,12,440.8,10,9.96E-05
T1-12-6,2015-11-01,12,331.7,10,9.06E-05
T1-12-7,2015-11-01,12,354.5,10,0.000177594
T1-12-9,2015-11-01,12,284.7,10,0.000204911
T2-12-13,2016-01-01,12,306.1,12,0.000285971
T2-12-14,2016-01-01,12,255.3,12,0.000413139
T2-12-17,2016-01-01,12,302.3,12,0.00028761
T2-12-18,2016-01-01,12,360,12,0.000136565
T2-12-19,2016-01-01,12,349.5,12,0.000320349
T2-12-20,2016-01-01,12,289.8,12,0.000387454
T2-12-21,2016-01-01,12,339.3,12,0.000160817
T2-12-24,2016-01-01,12,311.6,12,0.000358344
T3-12-25,2016-04-01,12,249.9,14,0.000181802
T3-12-29,2016-04-01,12,310.2,14,0.000208415
T3-12-30,2016-04-01,12,218.6,14,0.000217396
T3-12-31,2016-04-01,12,251.1,14,0.000392534
T3-12-35,2016-04-01,12,285,14,0.000156094